,Type,Name,Year,Director,Address,Lat,Lon,Borough,Number_of_Complaints,Style,Material,Use,Nbhd,Imdb,Tel,Url,System,Categories,Phone,Rating,Price,Zip_code
1786,restaurant,DON POLLO,NA,NA,4106 GREENPOINT AVE,40.740087,-73.9237948,Queens,NA,NA,NA,NA,NA,NA,NA,NA,NA,Peruvian,7183615898,3.5,$$,11104
1787,restaurant,DON TACO MEXICAN CUISINE,NA,NA,4321 BROADWAY,40.85240294,-73.93488952,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mexican,9293025658,4,$,10033
1788,restaurant,DON'S BOGAM BLACK,NA,NA,276 5TH AVE,40.67444,-73.98229,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ramen,2126852727,3.5,$$,11215
1789,restaurant,DON'S BOGAM BLACK,NA,NA,276 5TH AVE,40.74587735,-73.98666522,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Korean,2126852727,4,$$$,10001
1790,restaurant,DONA ZITA MEXICAN FOOD,NA,NA,1221 BOWERY ST,40.5747639,-73.9799965,Brooklyn,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mexican,3475899396,4,$,11224
1791,restaurant,DONNA,NA,NA,27 BROADWAY,40.71088,-73.96774,Brooklyn,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lounges,9178474434,4,$$,11249
1792,restaurant,DORADO TACOS,NA,NA,570 LEXINGTON AVE,40.7571519,-73.9726033,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Asian Fusion,2126270900,4,$,10022
1793,restaurant,DOS TOROS,NA,NA,1290 6TH AVE,40.76084551,-73.9793731,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Italian,2124142560,3,$$,10104
1794,restaurant,DOS TOROS TAQUERIA,NA,NA,668 6TH AVE,40.7413,-73.99359,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mexican,__________,3.5,$$,10010
1795,restaurant,DOS31,NA,NA,231 S 4TH ST,40.7105846,-73.9588372,Brooklyn,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bars,7183875111,4.5,$$,11211
1796,restaurant,DOTORY,NA,NA,353 BROADWAY,40.70776399,-73.95569831,Brooklyn,NA,NA,NA,NA,NA,NA,NA,NA,NA,Korean,7185991399,4,$$,11211
1797,restaurant,DOUBLE CRISPY BAKERY I,NA,NA,230 GRAND ST,40.71865,-73.99499,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Desserts,2129666929,4,$,10013
1798,restaurant,DOUBLE HAPPY KITCHEN,NA,NA,8518 JAMAICA AVE,40.69233322,-73.85834503,Queens,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chinese,7188506003,3,$,11421
1799,restaurant,DOUBLE RED INC,NA,NA,1818 AVENUE U,40.5990899,-73.95289,Brooklyn,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chinese,646_______,3.5,$$,11229
1800,restaurant,DOUBLE TOP CHINA & TORTILLA TACO,NA,NA,1774 FLATBUSH AVE,40.626601,-73.941478,Brooklyn,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mexican,7186777300,4,$,11210
1801,restaurant,DOUBLE ZERO,NA,NA,65 2ND AVE,40.7261288,-73.9896645,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pizza,2127771608,4,$$,10003
1802,restaurant,DOUBLE ZERO,NA,NA,65 2ND AVE,40.72608491,-73.98973614,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mexican,2127771608,4.5,$$,10003
1803,restaurant,DOUGH,NA,NA,700 8TH AVE,40.7587156,-73.9883444,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ramen,9173381420,3.5,$$,10036
1804,restaurant,DOUGHNUT PLANT,NA,NA,89 E 42ND ST,40.752901,-73.9773022,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tacos,2125053700,3.5,$$,10017
1805,restaurant,DOUGHNUTTERY,NA,NA,425 W 15TH ST,40.7423387,-74.00625,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Taiwanese,2126334359,4,$$,10011
1806,restaurant,DOUGHNUTTERY,NA,NA,425 W 15TH ST,40.74222666,-74.00607963,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Creperies,2126334359,4,$,10011
1807,restaurant,DRAGON HOUSE,NA,NA,280 SAND LN,40.59253412,-74.06828164,Staten Island,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chinese,7185560888,4,$,10305
1808,restaurant,DREAM EATERY,NA,NA,6712 FORT HAMILTON PKWY,40.62950255,-74.01124659,Brooklyn,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sushi Bars,3476615640,4,$$,11219
1809,restaurant,DUBUMARU,NA,NA,34 W 32ND ST,40.74776857,-73.98729141,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Korean,2127369002,3.5,$$,10001
1810,restaurant,DUBUMARU,NA,NA,34 W 32ND ST,40.74768829,-73.98735046,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Korean,2127369002,3,$$,10001
1811,restaurant,DUCK WONG,NA,NA,2341 86TH ST,40.6002,-73.9904,Brooklyn,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cantonese,7184839687,4,$,11214
1812,restaurant,DULCE VIDA LATIN BISTRO,NA,NA,1219 LEXINGTON AVE,40.77704,-73.95721,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Breakfast & Brunch,2125352424,3.5,$$,10028
1813,restaurant,DUMBO HOUSE,NA,NA,55 WATER ST,40.703415,-73.991409,Brooklyn,NA,NA,NA,NA,NA,NA,NA,NA,NA,Italian,6462152136,3.5,$$$,11201
1814,restaurant,DUMBO HOUSE,NA,NA,55 WATER ST,40.703799,-73.992343,Brooklyn,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sushi Bars,6462152136,4,$$$,11201
1815,restaurant,DUMPLING AND THINGS,NA,NA,375 5TH AVE,40.67109,-73.98453,Brooklyn,NA,NA,NA,NA,NA,NA,NA,NA,NA,Asian Fusion,7188780968,3.5,$,11215
1816,restaurant,DUMPLING HOUSE,NA,NA,9512 JAMAICA AVE,40.694114,-73.849876,Queens,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chinese,7184410054,4,$$,11421
1817,restaurant,DUN HUANG UPPER WEST SIDE/MELLOW TEA,NA,NA,1268 AMSTERDAM AVE,40.81106,-73.95818,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chinese,6464764549,3.5,$$,10027
1818,restaurant,DUNKIN,NA,NA,610 EXTERIOR ST,40.8197,-73.93022,Bronx,NA,NA,NA,NA,NA,NA,NA,NA,NA,Spanish,7324062445,2.5,$$,10451
1819,restaurant,DUNKIN' COFFEE EXPRESS,NA,NA,JFK INTERNATIONAL AIRPORT,40.6438245,-73.78072098,Queens,NA,NA,NA,NA,NA,NA,NA,NA,NA,Seafood,2022861788,3.5,$$,11430
1820,restaurant,Da Capo,NA,NA,322 COLUMBUS AVE,40.77972,-73.97752,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Italian,6468820197,4,$$,10023
1821,restaurant,Dian Kitchen,NA,NA,435 E 9TH ST,40.72762,-73.9832799,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chinese,6465909898,5,$$,10009
1822,restaurant,E NOODLE,NA,NA,8619 5TH AVE,40.62091794,-74.02648791,Brooklyn,NA,NA,NA,NA,NA,NA,NA,NA,NA,Noodles,7182383303,3.5,$$,11209
1823,restaurant,E NOODLE,NA,NA,8619 5TH AVE,40.62091794,-74.02648791,Brooklyn,NA,NA,NA,NA,NA,NA,NA,NA,NA,Noodles,7182383303,3.5,$$,11209
1824,restaurant,E-MO KIMBOB,NA,NA,2 W 32ND ST,40.74742597,-73.98621794,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Japanese Curry,2125941466,4,$$,10001
1825,restaurant,E-MO KIMBOB,NA,NA,2 W 32ND ST,40.7471962,-73.9861908,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Korean,2125941466,4,$,10001
1826,restaurant,E-MO KIMBOB,NA,NA,2 W 32ND ST,40.7472,-73.98619,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Korean,2125941466,3.5,$$,10001
1827,restaurant,E-MO KIMBOB,NA,NA,2 W 32ND ST,40.747204,-73.986198,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sports Bars,2125941466,3.5,$$,10001
1828,restaurant,EAST BUFFET & RESTAURANT,NA,NA,4207 MAIN ST,40.7550707,-73.8280097,Queens,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dim Sum,7183589830,2.5,$$,11355
1829,restaurant,EAST GARDEN ASIAN CUISINE,NA,NA,2072 FLATBUSH AVE,40.6191663,-73.9334202,Brooklyn,NA,NA,NA,NA,NA,NA,NA,NA,NA,Thai,7182523822,3.5,$,11234
1830,restaurant,EAST HARBOR SEAFOOD PALACE,NA,NA,714 65TH ST,40.633533,-74.014343,Brooklyn,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dim Sum,7187650098,4,$$,11220
1831,restaurant,EAST PALACE,NA,NA,819 2ND AVE,40.75105286,-73.97166443,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chinese,2129497708,3,$,10017
1832,restaurant,EASTERN CHINESE RESTAURANT,NA,NA,2105 BROADWAY,40.76566868,-73.93076878,Queens,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chinese,7182787333,3,$,11106
1833,restaurant,ED'S ELBOW ROOM,NA,NA,308 E 78TH ST,40.772189,-73.955029,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Wine Bars,6466493764,4.5,$$,10075
1834,restaurant,EDO ASIAN FUSION,NA,NA,2087 CONEY ISLAND AVE,40.60629238,-73.96164755,Brooklyn,NA,NA,NA,NA,NA,NA,NA,NA,NA,Japanese,7187087111,4,$$,11223
1835,restaurant,EDO JAPANESE RESTAURANT,NA,NA,9 E 17TH ST,40.73774,-73.99127,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Italian,9178928072,4,$$,10003
1836,restaurant,EDO JAPANESE RESTAURANT,NA,NA,9 E 17TH ST,40.73774,-73.99127,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Japanese,9178928072,3.5,$$,10003
1837,restaurant,EDWARD LUNCH RESTAURANT,NA,NA,56 LORRAINE ST,40.6744356,-74.00737381,Brooklyn,NA,NA,NA,NA,NA,NA,NA,NA,NA,Latin American,7182608284,3.5,$,11231
1838,restaurant,EGG ROLL CHINESE RESTAURANT,NA,NA,1772 BROADWAY,40.682291,-73.910006,Brooklyn,NA,NA,NA,NA,NA,NA,NA,NA,NA,Szechuan,7189199888,2.5,$$,11207
1839,restaurant,EIM DEE THAI,NA,NA,279 BUSHWICK AVE,40.70647,-73.93948,Brooklyn,NA,NA,NA,NA,NA,NA,NA,NA,NA,Thai,7183812889,2.5,$$,11206
1840,restaurant,EJEN,NA,NA,254 36TH ST,40.6564113,-74.0082717,Brooklyn,NA,NA,NA,NA,NA,NA,NA,NA,NA,Korean,3106345593,4.5,$$,11232
1841,restaurant,EL BUEN GUSTO REST,NA,NA,5201 4TH AVE,40.64516,-74.01365,Brooklyn,NA,NA,NA,NA,NA,NA,NA,NA,NA,Latin American,7184926001,3,$$,11220
1842,restaurant,EL BURRITO NACHO & LA NOVA PIZZA,NA,NA,1636 BROADWAY,40.68465,-73.91406,Brooklyn,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mexican,3474258390,4,$$,11207
1843,restaurant,EL BURRO MEXICAN GRILL,NA,NA,324 SUYDAM ST,40.70331,-73.9222,Brooklyn,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mexican,7184174328,3,$,11237
1844,restaurant,EL CASTILLO DE JAGUA,NA,NA,679 FLATBUSH AVE,40.65671795,-73.95992003,Brooklyn,NA,NA,NA,NA,NA,NA,NA,NA,NA,Spanish,3478529114,4,$,11225
1845,restaurant,EL CASTILLO DE JAGUA II,NA,NA,521 GRAND ST,40.7143299,-73.98185,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Spanish,2129950244,3,$,10002
1846,restaurant,EL CASTILLO DE MANHATTAN RESTAURANT,NA,NA,207 MADISON ST,40.71295,-73.98954,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Latin American,2122272892,3.5,$,10002
1847,restaurant,EL CASTILLO RESTAURANT INC,NA,NA,6811 4TH AVE,40.634868,-74.023094,Brooklyn,NA,NA,NA,NA,NA,NA,NA,NA,NA,Latin American,7187450649,4,$,11220
1848,restaurant,EL CONDE NUEVO,NA,NA,4139 BROADWAY,40.8460671,-73.9386488,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Latin American,2127810419,4,$$,10033
1849,restaurant,EL CORTEZ,NA,NA,17 INGRAHAM ST,40.7070999,-73.9330826,Brooklyn,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pubs,3475992976,3,$$,11206
1850,restaurant,EL DORADO RESTAURANT,NA,NA,2236 HYLAN BLVD,40.575843,-74.103743,Staten Island,NA,NA,NA,NA,NA,NA,NA,NA,NA,Spanish,7189801580,3,$$,10306
1851,restaurant,EL ECONOMICO RESTAURANT,NA,NA,5589 BROADWAY,40.879482,-73.904808,Bronx,NA,NA,NA,NA,NA,NA,NA,NA,NA,Latin American,7186015577,3.5,$,10463
1852,restaurant,EL FOGON RESTAURANT,NA,NA,1701 PALMETTO ST,40.702082,-73.908788,Queens,NA,NA,NA,NA,NA,NA,NA,NA,NA,Latin American,7184562555,3,$$,11385
1853,restaurant,EL GALLO TAQUERIA,NA,NA,214 HIGHLAWN AVE,40.60351515,-73.97790984,Brooklyn,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tex-Mex,9176682332,4,$$,11223
1854,restaurant,EL GRAN COFFEE SHOP,NA,NA,8610 ROOSEVELT AVE,40.747793,-73.87985,Queens,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tacos,9175397083,4.5,$,11372
1855,restaurant,EL JEFFE,NA,NA,1483 FULTON ST,40.6801601,-73.9419752,Brooklyn,NA,NA,NA,NA,NA,NA,NA,NA,NA,New Mexican Cuisine,3475150565,4.5,$$,11216
1856,restaurant,EL KALLEJON BOTANAS,NA,NA,209 E 117TH ST,40.798538,-73.938805,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tapas Bars,6466626835,4.5,$$,10035
1857,restaurant,EL MARIACHI HOLDING,NA,NA,3311 BROADWAY,40.76113043,-73.92335715,Queens,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mexican,7185454039,3.5,$,11106
1858,restaurant,EL MARIACHI REST,NA,NA,6712 ROOSEVELT AVE,40.7460442,-73.8978364,Queens,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mexican,7183356744,4,$$,11377
1859,restaurant,EL NOPAL RESTAURANT & JUICE BAR,NA,NA,631 5TH AVE,40.66311,-73.99126,Brooklyn,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mexican,7185412732,4.5,$$,11215
1860,restaurant,EL NUEVO AMANECER RESTAURANT,NA,NA,3666 BROADWAY,40.83041,-73.94722,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Spanish,2128629280,3.5,$,10031
1861,restaurant,EL NUEVO CARRIBENO,NA,NA,1675 LEXINGTON AVE,40.79162,-73.94657,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Latin American,2128313906,4,$$,10029
1862,restaurant,EL NUEVO JARABACOA,NA,NA,2678 PITKIN AVE,40.67498,-73.873062,Brooklyn,NA,NA,NA,NA,NA,NA,NA,NA,NA,Spanish,3477708321,3,$,11208
1863,restaurant,EL NUEVO JOBO RESTAURANT & BAR,NA,NA,3915 BROADWAY,40.8384209,-73.9422531,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Spanish,2127401616,3,$$,10032
1864,restaurant,EL NUEVO TINA RESTAURANT,NA,NA,511 W 125TH ST,40.81402898,-73.95639595,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Latin American,2122221104,4,$,10027
1865,restaurant,EL NUEVO VALLE III,NA,NA,268 E 167TH ST,40.8332387,-73.9143362,Bronx,NA,NA,NA,NA,NA,NA,NA,NA,NA,Spanish,9178010086,3,$,10456
1866,restaurant,EL PAISA TEPEACA,NA,NA,1548 SAINT NICHOLAS AVE,40.8533143,-73.9306442,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mexican,9175210972,4,$,10040
1867,restaurant,EL PARAITO DEL POLLO CORP,NA,NA,212 DELANCEY ST,40.71727,-73.98321,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Latin American,2125984752,4,$,10002
1868,restaurant,EL PASO MEXICAN GRILL,NA,NA,1610 NEWKIRK AVE,40.635877,-73.962081,Brooklyn,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tex-Mex,9179661555,3,$,11226
1869,restaurant,EL PASO MEXICAN GRILL,NA,NA,1610 NEWKIRK AVE,40.635877,-73.962081,Brooklyn,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tex-Mex,9179661555,3,$,11226
1870,restaurant,EL PASO MEXICAN GRILL,NA,NA,1610 NEWKIRK AVE,40.635877,-73.962081,Brooklyn,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tex-Mex,9179661555,3,$,11226
1871,restaurant,EL PASO MEXICAN GRILL,NA,NA,1610 NEWKIRK AVE,40.635877,-73.962081,Brooklyn,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tex-Mex,9179661555,3,$,11226
1872,restaurant,EL PATRON RESTAURANT & LOUNGE,NA,NA,520 BAY ST,40.62913213,-74.07673057,Staten Island,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mexican,3478617065,3.5,$$,10304
1873,restaurant,EL PENACHO RESTAURANT,NA,NA,374 AVENUE P,40.60847092,-73.9736557,Brooklyn,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mexican,7184397012,4,$,11204
1874,restaurant,EL PENACHO RESTAURANT,NA,NA,374 AVENUE P,40.60859,-73.97368,Brooklyn,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mexican,7184397012,3,$$,11228
1875,restaurant,EL PITALLITO RESTAURANT,NA,NA,3854 BROADWAY,40.83629228,-73.94305632,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mexican,2125686877,3.5,$,10032
1876,restaurant,EL PORTON BAR & RESTAURANT,NA,NA,3151 BROADWAY,40.81452,-73.95966,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mexican,2126657338,3.5,$$,10027
1877,restaurant,EL RANCHITO POBLANO RESTAURANT,NA,NA,1306 FLATBUSH AVE,40.6382316,-73.9536798,Brooklyn,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mexican,7182820366,3,$,11210
1878,restaurant,EL RANCHITO POBLANO RESTAURANT,NA,NA,1306 FLATBUSH AVE,40.638175,-73.953666,Brooklyn,NA,NA,NA,NA,NA,NA,NA,NA,NA,Spanish,7182820366,1.5,$,11210
1879,restaurant,EL RANCHO RESTAURANT,NA,NA,1157 FLATBUSH AVE,40.64212819,-73.95685985,Brooklyn,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dominican,3476279030,2.5,$$,11226
1880,restaurant,EL REY LATINO RESTAURANT,NA,NA,6342 108TH ST,40.73384411,-73.85031248,Queens,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mexican,7187309002,3.5,$$,11375
1881,restaurant,EL REY V,NA,NA,1310 BROADWAY,40.69033,-73.924,Brooklyn,NA,NA,NA,NA,NA,NA,NA,NA,NA,Spanish,7184553290,4,$,11221
1882,restaurant,EL SABOR CARIBENO RESTAURANT,NA,NA,1062 BROADWAY,40.69479,-73.93162,Brooklyn,NA,NA,NA,NA,NA,NA,NA,NA,NA,Latin American,7186020006,4,$,11221
1883,restaurant,EL SABROSO RESTAURANT,NA,NA,265 W 37TH ST,40.75408435,-73.99149001,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Latin American,2122841118,4,$,10018
1884,restaurant,EL SOMBRERO,NA,NA,108 STANTON ST,40.72124,-73.9875,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mexican,2122544188,3.5,$$,10002
1885,restaurant,EL TEMERARIO,NA,NA,198 8TH AVE,40.74341334,-73.99962772,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mexican,2126452100,3.5,$$,10011
1886,restaurant,EL TORITO MEXICAN RESTAURANT,NA,NA,2132 CRUGER AVE,40.85417457,-73.86664152,Bronx,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mexican,7182392228,3.5,$,10462
1887,restaurant,EL VALLE DEL MOFONGO,NA,NA,226 WILLIS AVE,40.80859,-73.92305,Bronx,NA,NA,NA,NA,NA,NA,NA,NA,NA,Comfort Food,3475902821,2.5,$$,10454
1888,restaurant,EL VALLE RESTAURANT,NA,NA,733 E TREMONT AVE,40.84491,-73.88981,Bronx,NA,NA,NA,NA,NA,NA,NA,NA,NA,American (New),3474557521,2,$,10457
1889,restaurant,EL VEZ,NA,NA,259 VESEY ST,40.71473564,-74.015635,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mexican,2122332500,4,$$,10282
1890,restaurant,EL VEZ,NA,NA,259 VESEY ST,40.71473564,-74.015635,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mexican,2122332500,3.5,$$,10282
1891,restaurant,ELLA KITCHEN AND BAR,NA,NA,249 COLUMBUS AVE,40.77704965,-73.97889139,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tapas/Small Plates,2125799929,4,$$,10023
1892,restaurant,ELORA'S MEXICAN AND SPANISH RESTAURANT,NA,NA,272 PROSPECT PARK W,40.65848541,-73.98239899,Brooklyn,NA,NA,NA,NA,NA,NA,NA,NA,NA,Spanish,7187886190,3.5,$$,11215
1893,restaurant,ELSA LA REINA DEL CHICHARRON,NA,NA,4840 BROADWAY,40.86627,-73.9246,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chinese,2123041070,4,$,10034
1894,restaurant,ELSA LA REINA DEL CHICHARRON,NA,NA,4840 BROADWAY,40.86627,-73.9246,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Latin American,2123041070,4,$,10034
1895,restaurant,EM VIETNAMESE,NA,NA,1702 86TH ST,40.60839,-74.00482,Brooklyn,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vietnamese,7182323888,4,$$,11214
1896,restaurant,EMILIA'S PIZZERIA,NA,NA,3705 28TH AVE,40.7662621,-73.9150543,Queens,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pizza,3477304632,4.5,$,11103
1897,restaurant,EMILIA'S RESTAURANT,NA,NA,2331 ARTHUR AVE,40.85415,-73.88894,Bronx,NA,NA,NA,NA,NA,NA,NA,NA,NA,Italian,7183675915,3.5,$$,10458
1898,restaurant,EMILIO'S CUCINA,NA,NA,150 GREAVES LN,40.553831,-74.142749,Staten Island,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sushi Bars,9173853049,4,$$,10308
1899,restaurant,EMPANADA CITY,NA,NA,363 LINCOLN RD,40.6617,-73.95046,Brooklyn,NA,NA,NA,NA,NA,NA,NA,NA,NA,Empanadas,7183635252,4.5,$,11225
1900,restaurant,EMPANADA LOCA,NA,NA,606 5TH AVE,40.663927,-73.990969,Brooklyn,NA,NA,NA,NA,NA,NA,NA,NA,NA,Empanadas,7183692118,4,$,11215
1901,restaurant,EMPANADA MAMA,NA,NA,95 ALLEN ST,40.71875631,-73.99089452,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Colombian,2126730300,4,$,10002
1902,restaurant,EMPANADAS EL GUSTAZO RESTAURANTE,NA,NA,4219 COLLEGE POINT BLVD,40.75402653,-73.83269203,Queens,NA,NA,NA,NA,NA,NA,NA,NA,NA,Colombian,7186611080,4.5,$,11355
1903,restaurant,EMPERADOR ELIAS RESTAURANT,NA,NA,274 BROADWAY,40.70863,-73.9588799,Brooklyn,NA,NA,NA,NA,NA,NA,NA,NA,NA,Caribbean,7183887784,3,$$,11211
1904,restaurant,EMPEROR'S HOUSE,NA,NA,767 FOREST AVE,40.62925,-74.11467,Staten Island,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chinese,9178588832,4,$$$,10310
1905,restaurant,EMPIRE EAST,NA,NA,2740 HYLAN BLVD,40.5654903,-74.1144495,Staten Island,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chinese,7189871111,3.5,$$,10306
1906,restaurant,EMPIRE EAST PAN ASIAN BISTRO,NA,NA,1445 RICHMOND AVE,40.61374,-74.1574104,Staten Island,NA,NA,NA,NA,NA,NA,NA,NA,NA,Asian Fusion,7189831111,3.5,$$,10314
1907,restaurant,EMPIRE EAST PAN ASIAN BISTRO,NA,NA,1445 RICHMOND AVE,40.61141913,-74.1575385,Staten Island,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sushi Bars,7189831111,4,$$,10314
1908,restaurant,EMPIRE EXPRESS CHINESE RESTAURANT,NA,NA,319 9TH ST,40.66918,-73.98567,Brooklyn,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chinese,7184993758,3.5,$,11215
1909,restaurant,EMPIRE STEAK HOUSE,NA,NA,151 E 50TH ST,40.756278,-73.971258,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Steakhouses,2125826900,4,$$$,10022
1910,restaurant,EMPIRE SZECHUAN GARDEN,NA,NA,4342 46TH ST,40.7442226,-73.9186565,Queens,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chinese,7183619625,3.5,$,11104
1911,restaurant,EMPIRE Szechuan Noodle house,NA,NA,4041 BROADWAY,40.84285,-73.93968,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chinese,2125681600,2.5,$$,10032
1912,restaurant,ENDSWELL BAR & BISTRO,NA,NA,773 FULTON ST,40.68619,-73.97377,Brooklyn,NA,NA,NA,NA,NA,NA,NA,NA,NA,American (New),9173341508,4,$$$,11217
1913,restaurant,ENLIGHTENMENT WINES,NA,NA,99 SCOTT AVE,40.7105638,-73.9233984,Brooklyn,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vietnamese,4014866116,4,$$,11237
1914,restaurant,ENZO'S PIZZA,NA,NA,8102 ROCKAWAY BLVD,40.6842863,-73.8594333,Queens,NA,NA,NA,NA,NA,NA,NA,NA,NA,Italian,7182960880,4,$$,11416
1915,restaurant,EPICERIE BOULUD,NA,NA,185 GREENWICH ST,40.71186962,-74.01154869,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sandwiches,2125959605,2.5,$$,10007
1916,restaurant,EPICERIE BOULUD,NA,NA,185 GREENWICH ST,40.7099275,-74.0126017,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sushi Bars,2125959605,3,$,10007
1917,restaurant,ESANATION,NA,NA,750 9TH AVE,40.7637,-73.98839,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Thai,2123150555,3.5,$$,10019
1918,restaurant,ESCAPE INTERNATIONAL CUISINE,NA,NA,1841 HOBART AVE,40.8483407,-73.8316408,Bronx,NA,NA,NA,NA,NA,NA,NA,NA,NA,Latin American,7186841860,3.5,$$,10461
1919,restaurant,ESPINAL DELI & GROCERY,NA,NA,282 NOSTRAND AVE,40.69025,-73.9517,Brooklyn,NA,NA,NA,NA,NA,NA,NA,NA,NA,Delis,7188571784,3.5,$,11205
